date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
1989-01-13,41.203125,41.59375,41.1875,41.515625
1989-01-16,41.53125,41.609375,41.46875,41.515625
1989-01-17,41.46875,41.578125,41.421875,41.484375
1989-01-18,41.515625,41.75,41.3125,41.671875
1989-01-19,41.71875,41.78125,41.59375,41.65625
1989-01-20,41.640625,41.6875,41.53125,41.5625
1989-01-23,41.625,41.6875,41.546875,41.65625
1989-01-24,41.625,41.90625,41.609375,41.84375
1989-01-25,41.8125,41.953125,41.65625,41.671875
1989-01-26,41.6875,41.71875,41.453125,41.65625
1989-01-27,41.734375,41.9375,41.609375,41.765625
1989-01-30,41.78125,41.828125,41.640625,41.65625
1989-01-31,41.65625,41.734375,41.578125,41.640625
1989-02-01,41.625,41.703125,41.578125,41.65625
1989-02-02,41.671875,41.734375,41.65625,41.703125
1989-02-03,41.703125,41.765625,41.53125,41.65625
1989-02-06,41.6875,41.703125,41.59375,41.65625
1989-02-07,41.640625,41.796875,41.59375,41.78125
1989-02-08,41.796875,41.921875,41.75,41.765625
1989-02-09,41.625,41.71875,41.34375,41.359375
1989-02-10,41.25,41.3125,40.953125,41.125
1989-02-13,41.046875,41.15625,41.03125,41.078125
1989-02-14,41.046875,41.1875,40.921875,41.0
1989-02-15,41.03125,41.140625,40.921875,41.03125
1989-02-16,41.140625,41.1875,41.03125,41.046875
1989-02-17,41.078125,41.15625,40.9375,41.109375
1989-02-21,41.21875,41.21875,41.0,41.078125
1989-02-22,41.0,41.046875,40.828125,40.875
1989-02-23,40.796875,40.875,40.640625,40.65625
1989-02-24,40.796875,40.828125,40.53125,40.59375
1989-02-27,40.5,40.703125,40.5,40.6875
1989-02-28,40.734375,40.8125,40.671875,40.765625
1989-03-01,40.890625,40.90625,40.65625,40.65625
1989-03-02,40.671875,40.796875,40.578125,40.796875
1989-03-03,40.765625,40.828125,40.6875,40.78125
1989-03-06,40.875,40.921875,40.828125,40.890625
1989-03-07,40.9375,40.984375,40.84375,40.90625
