,"Fast LS(5,21)","Medium-Fast LS(10,63)","Medium LS(20,126)","Slow LS(20,252)"
1967-10-26,0.4265015002850897,1.0188958460458688,1.0253846871117986,0.9544461868427041
1967-10-27,0.4261314365320519,1.0200475315600865,1.028319924005101,0.9574078032133555
1967-10-30,0.4293705527330248,1.0259899946146918,1.033897098443156,0.9627184870998065
1967-10-31,0.4334256280380586,1.0328775188308539,1.0388322812552362,0.9663514635079088
1967-11-01,0.43997983758378745,1.0435763926356645,1.047347268059888,0.9741602987270016
1967-11-02,0.44002170547560926,1.0437330014753734,1.0475153549265475,0.9744104740238574
1967-11-03,0.44446301159649193,1.0516222781297309,1.0542542380385114,0.9800437914265627
1967-11-06,0.4469046557533701,1.0572441376226984,1.061119247512831,0.9870459037461828
1967-11-07,0.4466019062258006,1.0574465361029843,1.0622570533006999,0.9881991246644649
1967-11-08,0.4439861586088565,1.0509167365527101,1.0539448123894364,0.9800885275574437
1967-11-09,0.44464667679982744,1.053097878823246,1.0568548855070623,0.9832468319695492
1967-11-10,0.4470349066882134,1.0593590876873118,1.0652055397063809,0.9917948581200228
1967-11-13,0.45045111811907673,1.0662911433081899,1.0722997368667804,0.998371211886858
1967-11-14,0.44620916608759154,1.0581810726934435,1.0638591705284244,0.9906070824482073
1967-11-15,0.4433891590601558,1.0534008133859896,1.0600667035942912,0.9877462058103377
1967-11-16,0.43599147764949625,1.0398357776134972,1.0475964916280334,0.9768349780932147
1967-11-17,0.4371515527738493,1.0437971397398476,1.052172506823942,0.9811667743175779
1967-11-20,0.4465728506652967,1.067243009309042,1.076883146729391,1.0024765307911256
1967-11-21,0.4371952542317487,1.0485125989737238,1.0602896796412666,0.9887382904529769
1967-11-22,0.43333380793871323,1.042092110668537,1.0539877449413113,0.9830940006815508
1967-11-23,0.43334064637912467,1.0434531807436354,1.0562549838533577,0.9853459186942216
1967-11-24,0.43503464136053915,1.0488526909722522,1.0608949278862263,0.9882256054429153
1967-11-27,0.4352065030754763,1.0484790494851146,1.0624140709064345,0.9914782535943526
1967-11-28,0.42979306629141956,1.0353952733645502,1.048473303541628,0.9782917877700832
1967-11-29,0.43014185261417875,1.0369269172351934,1.0500693832069514,0.9797229101257292
1967-11-30,0.4323408672350945,1.0458870845064119,1.0595950711227753,0.9883580954873112
1967-12-01,0.4335138481247212,1.0494743798988746,1.0634905239556414,0.9920165935877827
1967-12-04,0.4323435200587313,1.045656799961247,1.0599905326337533,0.9894096111759184
1967-12-05,0.4316877541267645,1.0433570399471488,1.05701457144663,0.9859649027181938
1967-12-06,0.429885172758729,1.0383259148315402,1.0517959796285992,0.9813272244513336
1967-12-07,0.42995928088571783,1.0415943236169816,1.056047107502087,0.9857269858072129
1967-12-08,0.42982184337422724,1.0430940665690922,1.0574246337793547,0.9867193427536826
1967-12-11,0.4301859773031002,1.0462304964665048,1.060401971424714,0.9892526858931822
1967-12-12,0.426222144304645,1.0437328064991542,1.0582130410794859,0.9870200536813789
1967-12-13,0.4230377368080051,1.0395529588981913,1.0542569983638581,0.9837542415413217
1967-12-14,0.42306371512955837,1.0402480531216496,1.055186835049359,0.9846458960383115
1967-12-15,0.424182704285853,1.0417489751097968,1.0560577342841901,0.9846816227366
1967-12-18,0.4207184435673593,1.0375160753124038,1.0519786511741405,0.9810505686419154
1967-12-19,0.4179278194855056,1.0329314003678198,1.0473582759959885,0.9766700432656662
1967-12-20,0.4140047667559034,1.030831138301617,1.0468561673423094,0.9774913901303623
1967-12-21,0.4126330466053041,1.0327287465872135,1.04919093850026,0.9800381433097356
1967-12-22,0.40872567033923746,1.0369346556367114,1.053864440509142,0.9841502436070352
1967-12-25,0.40848084568980797,1.037198083405896,1.054091394150409,0.9844085228317214
1967-12-26,0.41005654886974574,1.034781264232898,1.051392631384331,0.9820969371926381
1967-12-27,0.4126328265163737,1.0392650208035068,1.055966041615537,0.9870633546855417
1967-12-28,0.4104249837190309,1.0458065510749657,1.0631366377458582,0.9937687996521268
1967-12-29,0.41264015238016777,1.048777826350144,1.0658678657217684,0.9969577591728301
1968-01-01,0.41211239467589106,1.048718363264496,1.0659449403042824,0.997031249444659
1968-01-02,0.4135907859801107,1.0454786658392445,1.061851587049225,0.9934726453388069
1968-01-03,0.4108513527079798,1.0436160942376465,1.0611429671747488,0.9929226142400964
1968-01-04,0.40611963003441764,1.0284502202986834,1.0461904768854777,0.9784864767291812
1968-01-05,0.4074486600652844,1.0263360659758072,1.043369558093074,0.9761807693976607
1968-01-08,0.4068789186911965,1.0285985699111664,1.0455736175775172,0.9783633101294493
1968-01-09,0.4057485812588288,1.0282684399234807,1.04625698379075,0.9790403017656344
1968-01-10,0.4067985733217379,1.0190588791305704,1.0369082607173181,0.9705751498907466
1968-01-11,0.40736275977165015,1.0187249749176135,1.0360349684212065,0.9695634762233852
1968-01-12,0.4076340000039452,1.0191534226606807,1.0355391324362986,0.9688550723012942
1968-01-15,0.40457215426951076,1.0148067407378256,1.0374665330915906,0.9711844202929506
1968-01-16,0.40170602144039186,1.0127194270438988,1.0406793891340378,0.9742389570717285
1968-01-17,0.4039279265747375,1.0118773753890662,1.035831253447428,0.9693919139219295
1968-01-18,0.40207943894842724,1.020026685472784,1.0476478815899444,0.980135166338116
1968-01-19,0.3971224702330188,1.017766322215091,1.0543174348529707,0.986427615944231
1968-01-22,0.3959160381446235,1.0166807062977692,1.0561873577830123,0.9879276982679173
1968-01-23,0.39488150328562077,1.00603762882382,1.0450987817576256,0.9777688325498912
1968-01-24,0.3937380525634121,1.002699866666377,1.0439043726784072,0.976951638634414
1968-01-25,0.3942898726385446,1.0024051311782238,1.0383266227164918,0.9713736636604287
1968-01-26,0.39212485398547037,0.9950766082850988,1.0346892739732891,0.9688618419147466
1968-01-29,0.390697557546337,0.9923199368653095,1.0343376088780427,0.9692402795801535
1968-01-30,0.39131319547137944,0.9952436512270927,1.0371640908630535,0.9717231954439975
1968-01-31,0.3933395331083174,0.9945887816796981,1.034354725634571,0.968960359863398
1968-02-01,0.39240552800790907,0.9926570231342495,1.0340945733678713,0.9691355775967239
1968-02-02,0.39134275543589475,0.9937888048612344,1.035901932507186,0.9707647649721619
1968-02-05,0.391246415364198,0.9938901485326909,1.0394577373953255,0.9745875938728128
