,"Ultra-Slow LS(20,504)"
1991-11-01,3.2652788385064424
1991-11-04,3.2678892033058173
1991-11-05,3.268827510726871
1991-11-06,3.276510728179625
1991-11-07,3.2900963638817062
1991-11-08,3.271314950616754
1991-11-11,3.257899626289853
1991-11-12,3.2539358411638304
1991-11-13,3.2357622547775895
1991-11-14,3.2510323813281983
1991-11-15,3.2559372240612063
1991-11-18,3.262119333083921
1991-11-19,3.259226198046589
1991-11-20,3.236458738257666
1991-11-21,3.2425924029296747
1991-11-22,3.2238368169032805
1991-11-25,3.2286358112242004
1991-11-26,3.223682460046684
1991-11-27,3.2215416912777073
1991-11-28,3.225200892193428
1991-11-29,3.251383458356021
1991-12-02,3.2639341199035123
1991-12-03,3.2575837948802118
1991-12-04,3.269360559231432
1991-12-05,3.2909636370441198
1991-12-06,3.2917295720042428
1991-12-09,3.3012017514107637
1991-12-10,3.3068044240148113
1991-12-11,3.3093802960297483
1991-12-12,3.319681709978541
1991-12-13,3.304136800604122
1991-12-16,3.3058919329258636
1991-12-17,3.312055303512122
1991-12-18,3.3103553906093772
1991-12-19,3.339747985511643
1991-12-20,3.381499209043625
1991-12-23,3.392115766350734
1991-12-24,3.389578895966158
1991-12-25,3.3823938870609407
1991-12-26,3.395031828957075
1991-12-27,3.396891567581388
1991-12-30,3.4215482738325123
1991-12-31,3.4311105448541084
1992-01-01,3.434238083829233
1992-01-02,3.42734182674546
1992-01-03,3.418872701659303
1992-01-06,3.4436658347118065
1992-01-07,3.459574371181221
1992-01-08,3.450310400613313
1992-01-09,3.4005256489811204
1992-01-10,3.3592002788814144
1992-01-13,3.343106828162769
1992-01-14,3.3257175587906898
1992-01-15,3.2752840207791163
1992-01-16,3.236079337385385
1992-01-17,3.2839427439107687
1992-01-20,3.3052288948231867
1992-01-21,3.30185502116692
1992-01-22,3.3011745430029364
1992-01-23,3.3004280828440127
1992-01-24,3.2771003772321343
1992-01-27,3.263122232150578
1992-01-28,3.288004245300701
1992-01-29,3.2711407923193394
1992-01-30,3.252710828686536
1992-01-31,3.2657600001976217
1992-02-03,3.2535801780602056
1992-02-04,3.2729919560644065
1992-02-05,3.28730151201562
1992-02-06,3.3035745177884155
1992-02-07,3.322318020046576
1992-02-10,3.338817450408547
1992-02-11,3.3115910675544544
1992-02-12,3.3083349214759834
1992-02-13,3.2779147281667456
1992-02-14,3.2840028455683323
1992-02-17,3.2865048460307835
1992-02-18,3.2573541554647543
1992-02-19,3.256132201831205
1992-02-20,3.2677400555352265
1992-02-21,3.2441640408927594
1992-02-24,3.2301036052696954
1992-02-25,3.247556729050762
1992-02-26,3.2689931700060284
1992-02-27,3.2987824574305122
1992-02-28,3.298234020180009
1992-03-02,3.289066791978404
1992-03-03,3.2766801855591776
1992-03-04,3.2645231429824113
1992-03-05,3.252842748117014
1992-03-06,3.233591632011163
1992-03-09,3.247336687585018
1992-03-10,3.2445780331999545
1992-03-11,3.2207155485026924
1992-03-12,3.1973340183241916
1992-03-13,3.1753586372931943
1992-03-16,3.1805980684197093
1992-03-17,3.2235993014186843
1992-03-18,3.225092590576498
1992-03-19,3.194894644927095
1992-03-20,3.196583024176985
1992-03-23,3.2028849449883414
1992-03-24,3.2222588418522027
1992-03-25,3.2217671879053262
1992-03-26,3.222630807157072
1992-03-27,3.2327737646769084
1992-03-30,3.2622915774590187
1992-03-31,3.2646927767860916
1992-04-01,3.293244523285046
1992-04-02,3.2902146221697066
1992-04-03,3.3154310355675016
1992-04-06,3.343618991111693
1992-04-07,3.362274817027619
1992-04-08,3.3598892963707887
1992-04-09,3.3750291062801905
1992-04-10,3.3772280786521094
1992-04-13,3.400019277773931
1992-04-14,3.398771096262247
1992-04-15,3.4090392360424264
1992-04-16,3.4044371121935337
1992-04-17,3.4072232224534504
1992-04-20,3.3815038710025216
