,Balanced,CTA 1,CTA 2,CTA 3,CTA 4,CTA 5,LS 1,LS 2,LS 3,LS 4,LS 5,QIS 1,QIS 2,QIS 3,QIS 4,QIS 5
2019-11-30,0.0112125910516749,-0.0023598933167121,0.0204468643279422,0.0120293202419616,0.0135088068764044,0.0191276313999158,-0.0059877020110594,0.0074946828127886,0.0015254156733088,0.0043371014355246,0.0198118812111796,-0.0060085808439535,-0.0156626124544508,-0.0015995068175483,-0.0080109148553904,-0.0009841463886143
2019-12-31,0.0198048316222176,0.0080976612110037,0.0122256331129946,-0.0002848908244621,-0.0140018344809567,-0.0088570978092237,-0.0188444390227645,0.0103406444297085,0.0053246238431767,0.1209075019376662,0.005722305718437,-0.0083224582731565,-0.0018456467510572,-0.0114329247594819,-0.007136815290542,-0.0014508371146584
2020-01-31,-0.0044868300975351,-0.0264847499542932,-0.0206932599404691,-0.0066871050868062,0.0321211555217042,0.0033275507560299,0.0091584353506681,0.0086381274622668,0.001695436715817,-0.0741336057153969,0.0176292843477479,0.0001312129403715,-0.0070399616341206,0.0134543210931697,-0.0038603601311242,0.0003644663309464
2020-02-29,-0.0434847279760229,-0.0073479789879598,-0.0215367147457077,-0.0310953702764996,0.007021502986084,0.0007129231428393,-0.0142660702258442,-0.0088475869755533,-0.0066890527004322,-0.0693548413119041,-0.0451187054394827,0.0722459652205837,0.1243572894880331,0.0708376977548277,0.1326797939263052,-0.0007280509477664
2020-03-31,-0.0919869696449826,0.0548436371781195,0.0751541267739388,0.0371165295679629,0.0311530350082132,0.0034495793393194,-0.0227763224226074,-0.0200165993665166,-0.0580444385463189,-0.1188285738965435,-0.091636825754342,0.1955675324464176,0.1510411373120619,0.2207469437483255,0.1898729327821008,0.2775735475779854
2020-04-30,0.063686702541726,0.0019638866819831,-0.0306614021682152,0.0177163200344314,-0.0025211468117293,-0.0115934053307236,-0.0084569195770646,0.0200321641000555,0.0512867722389873,0.089014214752219,0.0437121162018332,-0.0108757312164558,-0.0157912952729843,-6.259979158214476e-05,0.0282213536355122,0.0003585601239192
2020-05-31,0.0354124775091797,-0.0165589244746083,-0.0246716034596454,-0.017845512596382,-0.0008899317766224,-0.0154986047846027,-0.0143585545550781,0.0141671124630062,0.0163520338996712,0.0025225148401391,0.0352969900891844,-0.0257920298704444,-0.0146428372178154,-0.0303031655338362,-0.0183346007663537,-0.0070573352573774
2020-06-30,0.0206592676258987,-0.0175701399229248,-0.0213802858544063,-0.0080319062502205,-0.0074785032347856,-0.0219779219838466,0.0128210107961344,0.0145329565159992,0.0061471748345725,0.010551952917307,0.0229399383178039,0.0093789768870782,0.0196132077701658,-0.024537765987127,0.0354413187099613,-0.0130190378157797
2020-07-31,0.0360013525434621,-0.0061531051962994,0.0276381016319433,-0.0142964967296369,0.0081637313604501,0.0094013180070402,0.0073898365097673,0.0213093331902041,0.0138622338858735,0.0280078559866989,0.051099359949676,-0.0183906955590965,-0.0168056602330252,-0.0050973926374846,0.0008850073809676,0.0025366482528171
2020-08-31,0.0336798146701549,-0.0085004171394268,0.0049470365292794,0.0004799719029102,0.0110341622764682,-0.0525091153830612,-0.0078537036352258,0.0213971991697992,0.0065049244894426,0.0312816728681955,0.0459977283531578,0.0021233720042396,-0.0113593531616957,-0.0059630870655327,0.0113512283576626,-0.000223595192031
