,Balanced,MAN AHL,Aspect,Metori,AQR,Dunn,BSF Event Driven,Jupiter GEAR,Ardtur,Schroder Egerton,HSBC GH
2019-09-30,0.010019253776925918,-0.03975492741761566,-0.04044114355155315,-0.011685249726536506,-0.021001412630874072,-0.03831926649919859,0.003226836090405305,-0.010477217860085708,-0.0023223822373351632,-0.031091507488823722,-0.005982823638952306
2019-10-31,0.016523422344052685,-0.06324982108790478,-0.036461015223661075,-0.02786857372286955,-0.03622896081651206,-0.03279678655307838,0.0026106814602946393,-0.014308491277604585,0.03775291165702588,0.022276875835820942,0.001407048677714462
2019-11-30,0.011212591051674936,0.020446864327942293,0.0191276313999158,0.013508806876404433,-0.0023598933167121583,0.012029320241961683,0.001525415673308883,-0.00598770201105947,0.004337101435524682,0.019811881211179605,0.0074946828127886445
2019-12-31,0.01980483162221769,0.012225633112994627,-0.008857097809223724,-0.01400183448095671,0.008097661211003748,-0.0002848908244621473,0.005324623843176779,-0.01884443902276456,0.1209075019376662,0.005722305718437015,0.010340644429708501
2020-01-31,-0.004486830097535144,-0.02069325994046911,0.0033275507560299733,0.03212115552170425,-0.026484749954293285,-0.006687105086806255,0.001695436715817067,0.009158435350668181,-0.07413360571539696,0.01762928434774791,0.008638127462266887
2020-02-29,-0.043484727976022985,-0.02153671474570773,0.0007129231428393279,0.0070215029860840605,-0.007347978987959802,-0.031095370276499668,-0.006689052700432296,-0.014266070225844252,-0.06935484131190417,-0.04511870543948271,-0.008847586975553323
2020-03-31,-0.09198696964498265,0.07515412677393885,0.003449579339319442,0.031153035008213203,0.054843637178119575,0.037116529567962964,-0.05804443854631891,-0.02277632242260741,-0.11882857389654355,-0.09163682575434207,-0.020016599366516674
2020-04-30,0.06368670254172604,-0.030661402168215224,-0.011593405330723616,-0.0025211468117293245,0.001963886681983107,0.017716320034431465,0.051286772238987366,-0.008456919577064625,0.08901421475221905,0.04371211620183324,0.020032164100055594
2020-05-31,0.03541247750917975,-0.024671603459645475,-0.015498604784602743,-0.0008899317766224435,-0.016558924474608383,-0.017845512596382007,0.016352033899671214,-0.014358554555078173,0.0025225148401391007,0.03529699008918441,0.014167112463006282
2020-06-30,0.02065926762589876,-0.021380285854406322,-0.021977921983846627,-0.007478503234785605,-0.017570139922924888,-0.008031906250220544,0.0061471748345725,0.012821010796134402,0.01055195291730704,0.022939938317803943,0.014532956515999285
2020-07-31,0.03600135254346215,0.027638101631943357,0.009401318007040249,0.008163731360450122,-0.006153105196299413,-0.014296496729636954,0.013862233885873598,0.007389836509767322,0.02800785598669897,0.05109935994967607,0.021309333190204116
2020-08-31,0.033679814670154906,0.004947036529279414,-0.052509115383061244,0.011034162276468251,-0.008500417139426841,0.00047997190291027003,0.006504924489442621,-0.007853703635225862,0.0312816728681955,0.04599772835315785,0.021397199169799208
2020-09-30,-0.018517569650217447,-0.03295947510733821,-0.010971372126198031,-0.006338325003454881,-0.008778287112354066,-0.02319885231738794,0.005513766004697551,0.02033890916697434,-0.04268527126209487,-0.010995587570213572,0.002719231507096298
2020-10-31,-0.014772420862740998,-0.01823299574112902,-0.0019241292855407544,-0.0074140862006985,0.0011648294854667007,0.0014466959659704681,0.004632011660860913,0.011648625546013758,-0.009748478213483347,-0.02569910201370562,0.002859528436064407
2020-11-30,0.07427683575560273,0.015321438772613494,-0.013131034344641135,0.01023890025518659,-0.02780604672651721,-0.001966442310233907,0.02505511947769068,-0.02863599221498281,0.06319377491668354,0.028102032524179643,0.021762265375072642
2020-12-31,0.03051109677477215,0.07266041179116312,0.06843850754821057,0.025159892818555463,0.025707112215055616,0.033215008691983794,0.005917113243013583,0.014947895285376767,0.0636156983105336,0.014161738299374838,0.029747746560305544
2021-01-31,-0.004152994075936278,-0.03475941106524727,-0.013615308879781907,-0.003147962989020092,0.005113007344673459,-0.0095347911404009,0.007293350752816119,0.048974309504143276,0.0075683935998318574,-0.05583250591530331,-0.006429435632433145
2021-02-28,0.011887282990056036,0.028863176480621755,0.008628765904677094,-0.000964862193929994,0.040398211367205006,0.025894162693679723,0.0017780046086599555,-0.0034376601359976666,0.06979411692084536,0.048241323664902414,0.018806307981465542
2021-03-31,0.017711667010594345,0.029620725501192435,0.03287354831592282,0.002065191890763707,-0.0041690103748801555,-0.0017373081927528622,0.007511880331262821,0.052373419638620966,0.047175988539024605,0.022170470366137174,-1.6761239931994965e-05
2021-04-30,0.02829245297300753,0.017867615422347383,0.024341511549802686,-0.012074302822463134,0.0077344670563703755,0.028655725901633122,0.014773320592547767,0.02104556441469274,0.031864345330195665,0.043822390569715264,0.016532649911668695
2021-05-31,0.011403605909449555,0.02482325620246706,0.028459789098776778,0.02064317710487229,0.011227815089650539,0.0073166184273290025,0.0036791616897176027,0.027351007523078508,0.04883650664354544,-0.0031329159064732437,-0.002242542313288576
2021-06-30,0.008685885315400155,-0.013845958579701723,-0.03527046678407364,-0.01710978360212878,-0.03421386560222006,-0.01796625175846922,-0.0032895404422449426,-0.005052479994190118,-0.01918232194409153,0.005318234970709712,0.0014326216664091174
2021-07-31,0.009272441525794095,0.013690469731906685,0.0017280310552831857,-0.02295924910849656,-0.03130370210631661,-0.005739906234146219,-0.016756127164553658,-0.011679793280391926,-0.018129838174976043,0.009960302238504859,-0.000694115626192815
2021-08-31,0.013471696633526875,-0.00707112757410544,0.012838016557812804,-0.0071518552210059205,-0.008161538965198556,-0.0031778107251347887,0.0022383520484794417,0.0003766197237637936,0.015249667955638424,0.01237447950218229,0.010384303458170097
2021-09-30,-0.028534658769521548,-0.0534549379793402,0.037327287086697636,-0.009261830026141227,0.008897316858788473,0.0005139860087854942,0.0015168273280294908,0.013179222812710334,-0.012791163923971394,-0.04492875531776497,0.005589778865788375
2021-10-31,0.03064626787892255,0.046210611824826664,-0.0272869417674112,0.02034171728783818,0.045851331331407064,0.03583157634560541,0.0014254335013430541,-0.009485277059283481,-0.008216236905307372,0.04752888781724485,0.006329630973606504
2021-11-30,-0.013387221662083837,-0.07277807925919055,-0.03032326932750351,-0.02842613831359664,-0.08031937036591652,-0.05409792942562308,-0.0021412506958495836,0.010986689188231535,-0.044292288701267446,-0.015825395004300802,-0.006940510730876648
2021-12-31,0.024170485050187374,-0.0009299916950565867,0.023769784953289408,0.016123023386755753,0.011427839773255677,0.019868613264000246,0.0038554424552847966,0.03044462594637265,0.04104493429981759,0.01706756243618579,0.005484531933652725
2022-01-31,-0.03474065152143779,-0.03996761691441841,0.06177639871045315,-0.013779795204796885,0.05090774885931393,0.025980989782953712,-0.013595607089108785,0.007747437653707889,0.00288620874169232,-0.03940224570271467,-0.010828431058814703
2022-02-28,-0.022317855429682343,0.0022322747637153473,0.017516108718423684,0.00023747129172746462,0.020734813926587936,0.03851903349902619,0.014516307708081655,0.0022577833989845253,-0.035018322004029545,-0.01995359819039566,-0.000225707033933098
2022-03-31,0.0013000993182223919,0.06864694604586896,0.08354124183205625,0.049259460160427704,0.08586775909858702,0.06244567267344525,0.0015979085517057179,-0.00045174372530631945,0.046985176740297785,-0.00528940347210527,0.009000552965516162
2022-04-30,-0.06226539663508057,0.06731738585297298,0.07520955705922994,0.037075694918929925,0.04888974577843386,0.042789645507423923,-0.008216982810985818,0.004559829819152705,-0.06375758477541682,-0.047337626235552266,0.0023475349002972656
2022-05-31,0.005696913091484568,-0.008084572457718098,-0.006395471134022834,-0.009701547244725939,-0.004674926052250172,-0.002274066198463598,-0.014952622778410918,0.015866578187144542,0.06383449359852245,-0.013509789275263473,-0.007602730305334426
2022-06-30,-0.058146681899653,0.029573929577142888,0.02422909444823751,0.020318275388771845,0.046296624817432575,0.00719900175253585,-0.022839507660546876,-0.008623341837484366,-0.10729412166900065,-0.0662472464379722,-0.002223871588834525
2022-07-31,0.050727517277362244,-0.04816372826545656,-0.027159476359475465,-0.017192862085650296,-0.035718510842904116,-0.027095821437790435,0.015720394008861494,-0.0051983895815082,0.00015964228130993519,0.07607979780715368,0.0024608740345284374
2022-08-31,-0.03946393738046572,0.021792476823086382,0.04673714894944503,0.05027167704803093,0.02877617982000702,0.06161559877299161,0.01666287304240055,0.007609457462362856,-0.022585664027101937,-0.027905659390120907,0.0024294379879272743
2022-09-30,-0.07443251414650809,0.09259115888378333,0.04369790304898391,0.07719137472166637,0.048327708025839744,0.03081797677321574,-0.027403625970371714,0.026064217393763522,-0.0677568363754516,-0.05423430363352777,0.0010452301980634626
2022-10-31,0.03105425330006173,-0.0022576914953671423,0.017428951386848635,-0.004569912727426351,0.00012238524746033264,-0.005275406877111255,0.015736743206172576,0.0017204272981559132,0.03216655556701409,0.055517400301718034,-0.0019393138712180402
2022-11-30,0.06418934071578897,-0.05748903321285703,-0.04237025416510143,-0.02865712698692946,-0.04672749216082783,-0.029213129530828552,-0.013942627776267535,0.009322402304996702,0.06988593242936236,0.037908023116345335,-0.0036133905717969927
2022-12-31,-0.03485445949063892,-0.007267342176460412,-0.00012037768439610019,-0.011030852069024766,0.003518195520940015,0.011955383477933568,-0.0021662964741635538,0.004017470183596217,-0.030946685530080953,-0.026234797499863016,0.0048976459561973495
2023-01-31,0.05417941329557707,-0.003339541791340217,-0.03128023121810586,0.005290221390298999,-0.027420705687528746,-0.04386193471464006,0.020168890225299663,0.005499092253025584,0.07113765098212577,0.013703959379114172,0.001845118277082225
2023-02-28,-0.032957949341830384,0.01092679193310575,0.03566833082757337,0.031186493155046735,0.03786061484094416,0.049215437997074396,0.000986347693595624,-0.004770156607854292,-0.014578068734658833,-0.022210784948350493,-0.0015324181887979016
2023-03-31,0.023502292194528485,-0.07550445411900397,-0.06814515421594336,-0.07474020302068052,-0.05567166711559057,-0.06787125123433813,-0.009512296895648364,0.0039214654357995204,-0.023607305771990994,0.007469896163985412,-0.007471385523082796
2023-04-30,0.007915093487936176,0.020741571997976438,0.03477549306377181,0.010392690012863692,0.016167779305259034,0.04062568126859034,-0.003911064806379705,-7.516689518616282e-05,0.003082234749961499,0.029986862624498567,-0.003450613006005021
2023-05-31,-0.016889919538067732,0.022832197703976487,0.022510941969379417,0.0022380066221581174,0.02704784270462679,0.006947264532890296,-0.03255531112539811,0.0029791978613289416,-0.07192367472491856,-0.015459101623475968,0.0004302438907763939
2023-06-30,0.030522698119737512,0.0275493099044275,0.0061610079780798355,0.03175255095487217,-0.0006485066767938363,0.03431435186411069,0.018969586328825505,0.015078273951279586,0.0012820863563201002,0.034620505427541914,0.007626259324488016
2023-07-31,0.01679175104730324,-0.042287178981913365,-0.004401617689778536,-0.01784567146080218,-0.0225045986713045,-0.006555502831240734,0.004115601885710918,-0.013659278299774202,0.04460387135636923,0.014812360921213186,0.0037069170729675527
2023-08-31,-0.023989532101719835,-0.029437205164914104,-0.001198329820357058,-0.015419587756133946,0.021046935795784094,-0.013155635180895464,0.0017410330867588808,0.012635830091046074,-0.022821346600011005,-0.003061771396214885,0.0038954820910932497
2023-09-30,-0.03930150731524118,0.04877234885674642,0.021378908967628396,-0.030993632209903588,0.03020469101804779,0.007209601556150469,-0.009419999091099585,0.01336948894982748,-0.018076902852401378,-0.010502292180400996,0.0006216443395616889
2023-10-31,-0.027401653744478005,0.022228800664966242,-0.010364429562609523,-0.0043497053904615335,0.010483755073158019,-0.022183346485019184,-0.02595713083763751,0.011268302731631152,-0.042070345420781696,-0.004828092975663889,-0.003777586135570221
2023-11-30,0.06542803507393291,-0.07486011304968965,-0.03005675480884462,-0.0009680949771717628,-0.035607023340872956,-0.05148627135380024,0.029472777115937987,-0.004082351427272979,0.08366051438330935,0.040803974107548324,0.007769648477300883
2023-12-31,0.04083551181329992,0.012241926963418193,-0.03552735230178228,-0.01728332124922405,-0.024302891012939032,-0.026998515148275226,0.029959726587700297,0.0010219582944399619,0.04318493154293024,0.005779521149800626,0.006117119176603181
2024-01-31,-0.0030368468837871365,-0.0201391141456162,0.03619775936559333,0.028772360659080398,0.0007397856192628005,0.05601810478219371,-0.011582053655906588,0.01791432702684803,-0.03399502799992915,0.03632948360448407,0.005007494402638368
2024-02-29,0.015961274566188788,0.0335986532947552,0.06085889365654862,0.01765115065333478,0.06560694264605194,0.07170159882244387,0.003600184686238128,0.0042642568045627716,-0.026774258217722502,0.05019275836681936,0.012965321043447053
2024-03-31,0.02011170470463619,0.04928638563207577,0.045363663728584136,0.042146829586340306,0.029025370812230555,0.0024329506570068826,0.00017440866867013405,-0.002770187848736505,0.06494355367321969,0.027578117699411653,0.011689290443873457
2024-04-30,-0.03490963010136505,0.01513276443107392,0.007085487701771198,-0.009684588912475589,0.017461638013104297,0.0003033751458814127,-0.014535369075328597,0.008884362261752043,-0.009745396089204994,-0.027146166355697332,-0.0017714476527952439
2024-05-31,0.029877006378387527,-0.023250617917183858,-0.04236996171052376,0.0113678749095536,-0.01809923304314609,-0.02680785752142245,-0.0011949893010181345,-0.001657247258328498,0.0507764762155376,0.020723622903637162,0.0006252599017331217
2024-06-30,0.00846820153117056,-0.03348878531397381,-0.02477783302553349,0.00020423865636054472,-0.022216790306162415,-0.030699082577182457,-0.006489651773075589,0.0019223224813957884,-0.060363498380970326,-0.002495742834557557,0.0052408536757362345
